Treatment	Background	Length_cm
NB	CL28	0.608936395324891
NB	CL28	0.49053209623394
NB	CL28	0.49053209623394
CL14	CL28	7.19306116977527
CL14	CL28	7.09157177055446
CL14	CL28	7.64553474130141
Δ68-69	CL28	2.74867122889708
Δ68-69	CL28	0.317154372565047
Δ68-69	CL28	0.384813972045591
Δ68-70	CL28	0.143776648896155
Δ68-70	CL28	1.43776648896155
Δ68-70	CL28	2.16933590834492
ΔHS33	CL28	3.58173004750127
ΔHS33	CL28	0.604707670357357
ΔHS33	CL28	2.68101162941653
ΔHS33 pBBR1:68-69	CL28	0.604707670357357
ΔHS33 pBBR1:68-69	CL28	0.355212897272853
ΔHS33 pBBR1:68-69	CL28	0.828830093636657
ΔHS33 pBBR1:68-70	CL28	7.28609311906102
ΔHS33 pBBR1:68-70	CL28	7.12963029526226
ΔHS33 pBBR1:68-70	CL28	6.50377900006724
NB	IAA	0.372127797142989
NB	IAA	0.359441622240387
NB	IAA	1.06140996685103
CL14	IAA	5.29013493438499
CL14	IAA	1.06563869181856
CL14	IAA	1.26016004032512
Δ68-69	IAA	0.143776648896155
Δ68-69	IAA	0.69351089467557
Δ68-69	IAA	0.562420420682017
Δ68-70	IAA	0.114175574123417
Δ68-70	IAA	0.482074646298872
Δ68-70	IAA	0.372127797142989
ΔHS33	IAA	0.190292623539028
ΔHS33	IAA	0.879574793247065
ΔHS33	IAA	0.152234098831223
ΔHS33 pBBR1:68-69	IAA	3.3618363491895
ΔHS33 pBBR1:68-69	IAA	3.95808656961179
ΔHS33 pBBR1:68-69	IAA	4.12300684334561
ΔHS33 pBBR1:68-70	IAA	3.38297997402717
ΔHS33 pBBR1:68-70	IAA	2.7021552542542
ΔHS33 pBBR1:68-70	IAA	2.82901700328022
NB	NB	3.62824602214414
NB	NB	7.49330064247018
NB	NB	7.40026869318444
NB	CL28	1.07409614175363
NB	CL28	0.524361895974212
NB	CL28	1.25593131535759
CL14	CL28	6.25851295195027
CL14	CL28	5.34510835896293
CL14	CL28	1.43353776399401
Δ68-69	CL28	1.5942293127603
Δ68-69	CL28	0.947234392727608
Δ68-69	CL28	0.697739619643104
Δ68-70	CL28	0.811915193766521
Δ68-70	CL28	1.07409614175363
Δ68-70	CL28	0.638537470097629
ΔHS33	CL28	0.943005667760074
ΔHS33	CL28	1.72954851172139
ΔHS33	CL28	1.44622393889662
ΔHS33 pBBR1:68-69	CL28	1.21787279064978
ΔHS33 pBBR1:68-69	CL28	1.37433561444854
ΔHS33 pBBR1:68-69	CL28	1.49696863850702
ΔHS33 pBBR1:68-70	CL28	7.11271539539213
ΔHS33 pBBR1:68-70	CL28	6.45726302542436
ΔHS33 pBBR1:68-70	CL28	7.29032184402855
NB	NB	7.10848667042459
NB	NB	6.77441739798941
NB	NB	7.12540157029473
NB	CL28	0.697739619643104
NB	CL28	0.414415046818328
NB	CL28	0.498989546169008
CL14	CL28	3.22651715022841
CL14	CL28	0.740026869318444
CL14	CL28	3.26034694996869
Δ68-69	CL28	0.638537470097629
Δ68-69	CL28	1.23055896555238
Δ68-69	CL28	0.824601368669123
Δ68-70	CL28	1.18827171587704
Δ68-70	CL28	1.48428246360442
Δ68-70	CL28	1.20941534071471
ΔHS33	CL28	0.75694176918858
ΔHS33	CL28	1.00643654227308
ΔHS33	CL28	1.7676070364292
ΔHS33 pBBR1:68-69	CL28	0.909175868019802
ΔHS33 pBBR1:68-69	CL28	8.41939141036012
ΔHS33 pBBR1:68-69	CL28	2.65563927961133
ΔHS33 pBBR1:68-70	CL28	1.68726126204605
ΔHS33 pBBR1:68-70	CL28	2.73175632902694
ΔHS33 pBBR1:68-70	CL28	1.30244729000046
NB	IAA	0.778085394026249
NB	IAA	0.524361895974212
NB	IAA	0.28755329779231
CL14	IAA	7.33683781867143
CL14	IAA	4.16106536805342
CL14	IAA	3.75510777117016
Δ68-69	IAA	0.401728871915727
Δ68-69	IAA	0.169148998701359
Δ68-69	IAA	0.156462823798757
Δ68-70	IAA	0.482074646298872
Δ68-70	IAA	0.312925647597513
Δ68-70	IAA	0.270638397922174
ΔHS33	IAA	0.325611822500115
ΔHS33	IAA	0.228351148246834
