Background	Bacteria	Rep	Length_cm
Non RGI treatment	NB	Rep1	5.76927945205479
Non RGI treatment	NB	Rep1	5.88502191780822
Non RGI treatment	NB	Rep1	6.11824931506849
Non RGI treatment	NB	Rep1	6.81190684931507
Non RGI treatment	NB	Rep1	6.2496904109589
Non RGI treatment	NB	Rep1	4.37148904109589
Non RGI treatment	NB	Rep1	6.6747
Non RGI treatment	NB	Rep1	5.39819178082192
Non RGI treatment	NB	Rep1	5.2705397260274
Non RGI treatment	NB	Rep1	7.10167397260274
Non RGI treatment	NB	Rep1	4.83567123287671
Non RGI treatment	NB	Rep1	4.67034657534247
Non RGI treatment	NB	Rep1	6.57665753424657
Non RGI treatment	NB	Rep1	5.69004657534247
Non RGI treatment	NB	Rep1	5.8579602739726
Non RGI treatment	NB	Rep1	6.41896438356164
Non RGI treatment	NB	Rep1	6.41095890410959
Non RGI treatment	Variovorax CL14	Rep1	4.57565342465753
Non RGI treatment	Variovorax CL14	Rep1	3.29177671232877
Non RGI treatment	Variovorax CL14	Rep1	3.84882328767123
Non RGI treatment	Variovorax CL14	Rep1	3.71521232876712
Non RGI treatment	Variovorax CL14	Rep1	4.60379589041096
Non RGI treatment	Variovorax CL14	Rep1	4.1758602739726
Non RGI treatment	Variovorax CL14	Rep1	4.9644904109589
Non RGI treatment	Variovorax CL14	Rep1	3.87959178082192
Non RGI treatment	Variovorax CL14	Rep1	5.10267534246575
Non RGI treatment	Variovorax CL14	Rep1	4.8
Non RGI treatment	Variovorax CL14	Rep1	4.68247808219178
Non RGI treatment	Variovorax CL14	Rep1	4.22667123287671
Non RGI treatment	Variovorax CL14	Rep1	6.61500410958904
Non RGI treatment	Variovorax CL14	Rep1	4.69446575342466
Non RGI treatment	Variovorax CL14	Rep1	6.64508219178082
Non RGI treatment	Variovorax CL14	Rep1	6.32097123287671
Non RGI treatment	Variovorax CL14	Rep1	2.63752191780822
Non RGI treatment	Variovorax CL14	Rep1	5.26397260273973
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	6.36527260273973
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	5.16174657534247
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	4.18929863013699
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	4.05117945205479
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	5.6602397260274
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	1.65203424657534
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	5.96845890410959
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	4.90965205479452
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	6.5457698630137
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	3.98012054794521
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	6.70757260273973
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	3.82784383561644
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	6.28641780821918
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	4.34582465753425
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	6.57945205479452
Non RGI treatment	Variovorax CL14 Delta6869	Rep1	5.20501643835616
