DATASET_MULTIBAR
Separator TAB
DATASET_LABEL	Phyl
COLOR	red
FIELD_COLORS	#D9D9D9
FIELD_LABELS	Ratio
DATASET_SCALE	0-0.0-black-1-1-5	0.5-0.5-black-1-1-5	1-1.0-black-1-1-5
LEGEND_TITLE	Phyl
LEGEND_SHAPES	1
LEGEND_COLORS	#D9D9D9
LEGEND_LABELS	Ratio
BORDER_WIDTH	2
WIDTH	125
HEIGHT_FACTOR	1.5
MARGIN	10
DATA
GCF_002005445.1_ASM200544v1_genomic	0.0257072553451372
GCF_001971645.1_ASM197164v1_genomic	0.704463720641429
GCF_009765685.1_ASM976568v1_genomic	0.482404434187165
GCF_000964385.1_ASM96438v1_genomic	0
GCF_001633105.1_ASM163310v1_genomic	0.0505452927269974
GCF_000811805.3_ASM81180v3_genomic	0.450454777322291
GCF_004364325.1_ASM436432v1_genomic	0.372474419347619
GCF_012923605.1_ASM1292360v1_genomic	0.283831346467515
GCF_007827555.1_ASM782755v1_genomic	0.00281030377953157
GCF_001262635.1_ASM126263v1_genomic	1
GCF_000576515.1_ASM57651v1_genomic	0.80251252339783
GCF_013416485.1_ASM1341648v1_genomic	1.1
GCF_000770015.1_ASM77001v1_genomic	1.1
GCF_004803475.1_ASM480347v1_genomic	1
GCF_002272445.1_assembly-7547-G_v1_genomic	0.0657576177144471
GCF_004801395.1_ASM480139v1_genomic	1
GCF_900099745.1_IMG-taxon_2654587895_annotated_assembly_genomic	1.1
GCF_009811475.1_ASM981147v1_genomic	1.1
GCF_000381785.1_ASM38178v1_genomic	0.685796898720079
GCF_900110575.1_IMG-taxon_2634166333_annotated_assembly_genomic	0.857665823530041
GCF_900172375.1_A.soesokkakensis_CECT8620_Spades_Prokka_genomic	1
GCF_000374645.1_ASM37464v1_genomic	1
GCF_000025965.1_ASM2596v1_genomic	0.439401831146514
GCF_004365035.1_ASM436503v1_genomic	0.383613609464527
GCF_012910815.1_ASM1291081v1_genomic	0.627943576663297
GCF_009760915.1_ASM976091v1_genomic	0.345390090311762
GCF_900188305.1_IMG-taxon_2708742415_annotated_assembly_genomic	0.823733665336693
GCF_002271725.1_assembly-7715_v1_genomic	1.1
GCF_900104955.1_IMG-taxon_2693429820_annotated_assembly_genomic	0.533640916080336
GCF_000331245.1_BlaAAP53ver1.0_genomic	0.037528117495887
GCF_000479455.1_gbp01v01_genomic	1.1
GCF_004751985.1_ASM475198v1_genomic	0.183432567518914
GCF_000938285.1_ASM93828v1_genomic	0.871257663992968
GCF_003053845.1_ASM305384v1_genomic	0.458637175834259
GCF_900595755.1_10395_4_41_genomic	0.652892751149406
GCF_000144975.1_ASM14497v1_genomic	0.0850167492629674
