LABELS
Separator TAB
DATA
GCF_002005445.1_ASM200544v1_genomic	Acetobacter (n=147)
GCF_001971645.1_ASM197164v1_genomic	Achromobacter (n=211)
GCF_009765685.1_ASM976568v1_genomic	Acidisphaera (n=3)
GCF_000964385.1_ASM96438v1_genomic	Acidocella (n=5)
GCF_001633105.1_ASM163310v1_genomic	Acidovorax (n=105)
GCF_000811805.3_ASM81180v3_genomic	Acinetobacter (n=6419)
GCF_004364325.1_ASM436432v1_genomic	Actinophytocola (n=5)
GCF_012923605.1_ASM1292360v1_genomic	Advenella (n=7)
GCF_007827555.1_ASM782755v1_genomic	Aeribacillus (n=7)
GCF_001262635.1_ASM126263v1_genomic	Aestuariivita (n=1)
GCF_000576515.1_ASM57651v1_genomic	Agrobacterium (n=317)
GCF_013416485.1_ASM1341648v1_genomic	Alcaligenaceae (n=11)
GCF_000770015.1_ASM77001v1_genomic	Alcaligenes (n=34)
GCF_004803475.1_ASM480347v1_genomic	Aliishimia (n=1)
GCF_002272445.1_assembly-7547-G_v1_genomic	Alkalihalobacillus (n=47)
GCF_004801395.1_ASM480139v1_genomic	Allorhizobium (n=1)
GCF_900099745.1_IMG-taxon_2654587895_annotated_assembly_genomic	Alteribacillus (n=5)
GCF_009811475.1_ASM981147v1_genomic	Alteromonas (n=92)
GCF_000381785.1_ASM38178v1_genomic	Amphritea (n=5)
GCF_900110575.1_IMG-taxon_2634166333_annotated_assembly_genomic	Amycolatopsis (n=117)
GCF_900172375.1_A.soesokkakensis_CECT8620_Spades_Prokka_genomic	Aquimixticola (n=1)
GCF_000374645.1_ASM37464v1_genomic	Arhodomonas (n=2)
GCF_000025965.1_ASM2596v1_genomic	Aromatoleum (n=12)
GCF_004365035.1_ASM436503v1_genomic	Arthrobacter (n=227)
GCF_012910815.1_ASM1291081v1_genomic	Azoarcus (n=22)
GCF_009760915.1_ASM976091v1_genomic	Azohydromonas (n=4)
GCF_900188305.1_IMG-taxon_2708742415_annotated_assembly_genomic	Azospirillum (n=74)
GCF_002271725.1_assembly-7715_v1_genomic	Bacillus (n=5035)
GCF_900104955.1_IMG-taxon_2693429820_annotated_assembly_genomic	Beijerinckia (n=4)
GCF_000331245.1_BlaAAP53ver1.0_genomic	Blastomonas (n=26)
GCF_000479455.1_gbp01v01_genomic	Bordetella (n=1189)
GCF_004751985.1_ASM475198v1_genomic	Boseongicola (n=4)
GCF_000938285.1_ASM93828v1_genomic	Bradyrhizobium (n=284)
GCF_003053845.1_ASM305384v1_genomic	Breoghania (n=2)
GCF_900595755.1_10395_4_41_genomic	Burkholderia (n=3752)
GCF_000144975.1_ASM14497v1_genomic	Burkholderiales (n=9)
GCF_001654915.1_Bfe51602_DRAFTv1_genomic	Buttiauxella (n=16)
GCF_000698555.1_SOAPdenovo_v1.05_genomic	Caballeronia (n=45)
GCF_007833165.1_ASM783316v1_genomic	Caenimonas (n=4)
GCF_001234065.1_7038_3_38_genomic	Campylobacter (n=254)
GCF_900129885.1_IMG-taxon_2617270875_annotated_assembly_genomic	Candidimonas (n=3)
GCF_003722335.1_ASM372233v1_genomic	Caulobacter (n=63)
GCF_000758305.1_ASM75830v1_genomic	Cedecea (n=11)
GCF_003050785.1_ASM305078v1_genomic	Celeribacter (n=16)
GCF_003646465.1_ASM364646v1_genomic	Chachezhania (n=1)
GCF_002754245.1_ASM275424v1_genomic	Chryseobacterium (n=226)
GCF_001471655.2_ASM147165v2_genomic	Citrobacter (n=691)
GCF_002285285.1_ASM228528v1_genomic	Comamonadaceae (n=24)
GCF_001294075.1_ASM129407v1_genomic	Comamonas (n=83)
GCF_003703815.1_ASM370381v1_genomic	Corticibacter (n=2)
GCF_014262665.1_ASM1426266v1_genomic	Corynebacterium (n=1055)
GCF_014642595.1_ASM1464259v1_genomic	Croceicoccus (n=11)
GCF_900249905.1_CBM2614_genomic	Cupriavidus (n=134)
GCF_000381265.1_ASM38126v1_genomic	Curvibacter (n=5)
GCF_000373485.1_ASM37348v1_genomic	Dasania (n=1)
GCF_003441615.1_ASM344161v1_genomic	Dechloromonas (n=9)
GCF_009362995.1_ASM936299v1_genomic	Delftia (n=35)
GCF_007833355.1_ASM783335v1_genomic	Denitratisoma (n=3)
GCF_007004665.1_ASM700466v1_genomic	Denitrobaculum (n=1)
GCF_000482785.1_ASM48278v1_genomic	Derxia (n=2)
GCF_001673765.1_ASM167376v1_genomic	Donghicola (n=6)
GCF_002024165.1_SSNF3.0_genomic	Embleya (n=3)
GCF_006385135.1_ASM638513v1_genomic	Emcibacter (n=4)
GCF_001270265.1_SD006_V1_genomic	Ensifer (n=72)
GCF_002982195.1_ASM298219v1_genomic	Enterobacter (n=2277)
GCF_010092695.1_ASM1009269v1_genomic	Enterobacteriaceae (n=48)
GCF_013416545.1_ASM1341654v1_genomic	Eoetvoesia (n=2)
GCF_001682005.1_ASM168200v1_genomic	Epibacterium (n=58)
GCF_001542875.1_ASM154287v1_genomic	Erythrobacter (n=60)
GCF_004797935.1_ASM479793v1_genomic	Escherichia (n=17066)
GCF_000236605.1_ASM23660v1_genomic	Geobacillus (n=103)
GCF_010686765.1_ASM1068676v1_genomic	Geodermatophilus (n=29)
GCF_002836745.1_ASM283674v1_genomic	Glaciecola (n=8)
GCF_014644555.1_ASM1464455v1_genomic	Glutamicibacter (n=26)
GCF_000332995.1_ASM33299v1_genomic	Gordonia (n=109)
GCF_001552335.1_ASM155233v1_genomic	Granulicoccus (n=2)
GCF_008370495.1_ASM837049v1_genomic	Halioglobus (n=11)
GCF_013371085.1_ASM1337108v1_genomic	Halomonas (n=219)
GCF_000282575.1_Herbaspirillum.strYR522_v1.0_genomic	Herbaspirillum (n=60)
GCF_001011155.1_ASM101115v1_genomic	Hoeflea (n=8)
GCF_000214175.1_ASM21417v1_genomic	Hoyosella (n=5)
GCF_001428625.1_Root209_genomic	Hydrogenophaga (n=27)
GCF_000600295.1_HgNR1.0_genomic	Hylemonella (n=3)
GCF_010499455.1_ASM1049945v1_genomic	Ideonella (n=7)
GCF_001697225.1_ASM169722v1_genomic	Immundisolibacter (n=1)
GCF_002006995.1_ASM200699v1_genomic	Izhakiella (n=2)
GCF_904423795.1_G1766_genomic	Janibacter (n=31)
GCF_900107415.1_IMG-taxon_2693429889_annotated_assembly_genomic	Jannaschia (n=15)
GCF_003096775.1_ASM309677v1_genomic	Janthinobacterium (n=75)
GCF_000988095.1_ASM98809v1_genomic	Kerstersia (n=4)
