IndexImageJ,Area,Mean,Min,Max,Angle,Length_Pixel,Treatment
1,1405,73.982,68.744,107.127,-94.248,1403.858,Mono_NB
2,1433,70.858,65.667,99.682,-89.68,1432.022,Mono_NB
3,1490,70.385,63.512,105.38,-88.152,1488.774,Mono_NB
4,1659,70.037,26.6,106.419,-92.49,1657.564,Mono_NB
5,1522,68.09,61.736,102.166,-91.809,1520.758,Mono_NB
6,1065,69.051,63.898,101.401,-96.911,1063.729,Mono_NB
7,1625,71.13,34.31,111.943,-90.847,1624.177,Mono_NB
8,1315,73.829,66.336,88.829,-92.793,1313.56,Mono_NB
9,1283,72.61,69.734,77.09,-86.424,1282.498,Mono_NB
10,1729,76.65,68.645,109.012,-89.469,1728.074,Mono_NB
11,1178,72.632,70.357,76.376,-91.948,1176.68,Mono_NB
12,1137,72.941,70.155,93.225,-88.386,1136.451,Mono_NB
13,1601,71.759,20,108.9,-91.146,1600.32,Mono_NB
14,1386,72.23,21,115.368,-88.345,1384.578,Mono_NB
15,1426,71.316,68.46,111.947,-87.427,1425.437,Mono_NB
16,1563,70.778,67.04,94.551,-83.53,1561.948,Mono_NB
17,1561,71.916,21.667,121,-90,1560,Mono_NB
18,1114,72.154,33.897,112.876,-87.117,1113.409,Mono_CL14
19,802,72.665,13.667,86.805,-87.138,800.999,Mono_CL14
20,938,76.069,71.38,103.359,-91.958,936.547,Mono_CL14
21,905,72.569,20.333,108.858,-89.493,904.035,Mono_CL14
22,1121,75.323,37.06,114.924,-91.228,1120.257,Mono_CL14
23,1017,70.337,38.289,93.816,-90.902,1016.126,Mono_CL14
24,1209,68.777,66,71.309,-89.621,1208.026,Mono_CL14
25,945,63.404,20,66.282,-89.514,944.034,Mono_CL14
26,1243,73.958,71.881,80.132,-87.045,1241.651,Mono_CL14
27,1169,75.281,15,108,-90,1168,Mono_CL14
28,1140,71.741,68.358,98.76,-94.43,1139.403,Mono_CL14
29,1029,73.275,70,86.64,-95.356,1028.49,Mono_CL14
30,1611,72.075,69.639,108.478,-96.277,1609.651,Mono_CL14
31,1143,74.112,68.793,111.9,-96.03,1142.32,Mono_CL14
32,1618,72.192,69.001,112.183,-91.985,1616.97,Mono_CL14
33,1539,77.442,28.333,109.981,-96.571,1538.103,Mono_CL14
34,643,71.579,68.87,73.979,-94.289,641.797,Mono_CL14
35,1282,77.303,44,117.103,-92.148,1280.9,Mono_CL14
36,1550,78.773,43.544,96.821,-102.529,1548.883,Mono_CL14Delta
37,1257,76.54,13.18,104.44,-99.162,1256.025,Mono_CL14Delta
38,1020,77.963,18.347,111.838,-98.575,1019.396,Mono_CL14Delta
39,987,78.739,72.743,109.829,-103.134,985.787,Mono_CL14Delta
40,1378,74.658,66.087,104.29,-96.671,1377.325,Mono_CL14Delta
