Id,Area,Mean,Min,Max,Angle,Length,Bacteria,Background
1,1465,66.764,22,123.177,-90.313,1464.022,NB,NB
2,961,67.396,59.022,117.6,-89.045,960.133,NB,NB
3,1498,68.661,62.267,120.862,-92.144,1497.048,NB,NB
4,1417,68.093,62.535,112.373,-89.353,1416.09,NB,NB
5,1706,67.051,57.333,106.601,-92.151,1705.201,NB,NB
6,1645,73.469,63.434,122.008,-94.185,1644.384,NB,NB
7,1074,66.308,63.117,102.515,-92.137,1072.746,NB,NB
8,1154,67.821,59.113,113.537,-92.386,1153,NB,NB
9,1778,74.161,69.336,123.59,-91.806,1776.883,NB,NB
10,1724,69.656,61.416,166.644,-93.195,1722.677,NB,NB
11,1444,69.587,27.023,114.2,-93.497,1442.686,NB,NB
12,1497,68.959,26.667,114.381,-89.081,1496.193,NB,NB
13,1442,64.476,28.683,111.066,-96.375,1440.911,NB,NB
14,1185,71.278,26.333,112.667,-90,1184,NB,NB
15,1427,81.089,54.422,122.257,-92.895,1425.819,NB,NB
16,1665,67.345,22.638,120.431,-90.826,1664.173,NB,NB
17,1748,67.807,60.836,116.981,-96.572,1747.483,NB,NB
18,1169,69.807,43,105.863,-90.785,1168.11,NB,NB
19,1459,68.768,23.56,116.806,-92.831,1457.779,NB,NB
20,1249,74.117,49.256,106.256,-90.735,1248.103,NB,NB
21,1672,70.094,23.458,170.447,-95.219,1670.928,NB,NB
22,1817,72.37,66.025,117.29,-97.595,1815.93,NB,NB
23,1251,75.953,44.333,116.654,-92.936,1249.64,NB,NB
24,1596,76.824,66.674,111.429,-96.626,1594.651,NB,NB
25,1665,76.103,37.165,108.08,-89.174,1664.173,NB,NB
26,1506,73.292,66.313,110.095,-91.523,1504.532,NB,NB
27,1769,78.738,39.112,113.833,-89.741,1768.018,NB,NB
28,1531,74.242,26.667,115.662,-92.997,1530.093,NB,NB
29,1641,70.831,66.233,107.618,-95.599,1639.824,NB,NB
30,1614,73.528,66.763,105.499,-94.551,1613.086,NB,NB
31,1513,73.819,67.033,105.15,-95.771,1511.661,NB,NB
32,1283,73.132,15.972,109.164,-93.219,1282.023,NB,NB
33,1525,70.664,67.4,104.853,-93.914,1523.554,NB,NB
34,1719,71.082,31.594,101.241,-94.808,1718.045,NB,NB
35,1740,72.698,50.55,114.971,-93.428,1739.112,NB,NB
