Id	UId	Classification	Representative	Domain	Phylum	Class	Order	Family	Genus	Species	ShortGenus	ClassShortGenus	ColorGenus	PCo1	PCo2	PCo3
2643221508|HS6	2643221508	2643221508|HS6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__Variovorax paradoxus	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax paradoxus	Variovorax	Gammaproteobacteria|Variovorax	Gammaproteobacteria|Variovorax	0.425583368193088	-0.00658940239221649	-0.232059314488349
GCF_000010725.1_ASM1072v1_genomic|HS5	GCF_000010725.1_ASM1072v1_genomic	GCF_000010725.1_ASM1072v1_genomic|HS5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum lipoferum_B	No	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum lipoferum_B	Azospirillum	Alphaproteobacteria|Azospirillum	Other	-0.0741126997266565	-0.0132889450514857	0.115645468978933
GCF_000010805.1_ASM1080v1_genomic|HS8	GCF_000010805.1_ASM1080v1_genomic	GCF_000010805.1_ASM1080v1_genomic|HS8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus opacus_C	No	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus opacus_C	Rhodococcus	Actinomycetia|Rhodococcus	Other	-0.137232981129407	0.0984691148302996	-0.0773135651519387
GCF_000011965.2_ASM1196v2_genomic|HS1	GCF_000011965.2_ASM1196v2_genomic	GCF_000011965.2_ASM1196v2_genomic|HS1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_B;s__Ruegeria_B pomeroyi	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria_B	Ruegeria_B pomeroyi	Ruegeria	Alphaproteobacteria|Ruegeria	Alphaproteobacteria|Ruegeria	0.318994990302154	0.17454281210112	-0.0351902844815027
GCF_000013325.1_ASM1332v1_genomic|HS19	GCF_000013325.1_ASM1332v1_genomic	GCF_000013325.1_ASM1332v1_genomic|HS19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium aromaticivorans	No	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium aromaticivorans	Novosphingobium	Alphaproteobacteria|Novosphingobium	Other	-0.150464536762114	0.0205409434910011	0.141268840599799
GCF_000013565.1_ASM1356v1_genomic|HS1	GCF_000013565.1_ASM1356v1_genomic	GCF_000013565.1_ASM1356v1_genomic|HS1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__Roseicyclus sp000013565	No	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseicyclus	Roseicyclus sp000013565	Roseicyclus	Alphaproteobacteria|Roseicyclus	Other	0.241700770609556	0.166810268926444	0.10933527720748
GCF_000014565.1_ASM1456v1_genomic|HS6	GCF_000014565.1_ASM1456v1_genomic	GCF_000014565.1_ASM1456v1_genomic|HS6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus jostii_A	No	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus jostii_A	Rhodococcus	Actinomycetia|Rhodococcus	Other	-0.149231797772985	0.0970672566034357	-0.0817556250185252
GCF_000019125.1_ASM1912v1_genomic|HS1	GCF_000019125.1_ASM1912v1_genomic	GCF_000019125.1_ASM1912v1_genomic|HS1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_P	No	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E putida_P	Pseudomonas	Gammaproteobacteria|Pseudomonas	Gammaproteobacteria|Pseudomonas	-0.106813283806202	0.0161527949499925	0.124672608679966
GCF_000020125.1_ASM2012v1_genomic|HS10	GCF_000020125.1_ASM2012v1_genomic	GCF_000020125.1_ASM2012v1_genomic|HS10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia phytofirmans	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phytofirmans	Paraburkholderia	Gammaproteobacteria|Paraburkholderia	Gammaproteobacteria|Paraburkholderia	-0.260723394194174	0.0964576465346413	-0.0445843282738191
GCF_000061505.1_ASM6150v1_genomic|HS4	GCF_000061505.1_ASM6150v1_genomic	GCF_000061505.1_ASM6150v1_genomic|HS4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azoarcus;s__Azoarcus olearius	No	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus	Azoarcus olearius	Azoarcus	Gammaproteobacteria|Azoarcus	Other	0.27085924281409	-0.0932917847976724	-0.0231736470939517
GCF_000092385.1_ASM9238v1_genomic|HS16	GCF_000092385.1_ASM9238v1_genomic	GCF_000092385.1_ASM9238v1_genomic|HS16	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces milbemycinicus	No	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces milbemycinicus	Streptomyces	Actinomycetia|Streptomyces	Actinomycetia|Streptomyces	-0.12778985111197	0.0659145465826826	0.0664456433452742
