taxon_oid	gene_oid	contig	start	end	strand	Hotspot	COG	score	TypeScore	Anchor	Count	iacFlavor	varioFlavor	Classification	Phylum	Class	Order	Family	GeneralGenus	Genus	Species	Representative	direction	Name
2643221508	ctg5_24	Ga0102008_10005	30018	31391	-	HS3278PADB	COG4962	569.4	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_25	Ga0102008_10005	31446	32597	-	HS3278PADB	COG4963	252.2	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_26	Ga0102008_10005	32629	33078	-	HS3278PADB	COG4961	43.3	ScoreUnder50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_27	Ga0102008_10005	33075	33533	-	HS3278PADB	COG4961	53.1	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_28	Ga0102008_10005	33544	34773	-	HS3278PADB	COG4655	88.3	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_29	Ga0102008_10005	34819	34995	-	HS3278PADB	COG3847	40.7	ScoreUnder50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_30	Ga0102008_10005	35084	35260	-	HS3278PADB	COG3847	51.6	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_31	Ga0102008_10005	35346	35555	-	HS3278PADB	COG3847	51.5	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_32	Ga0102008_10005	35684	35965	-	HS3278PADB	NA	NA	NA	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
2643221508	ctg5_33	Ga0102008_10005	35986	37500	-	HS3278PADB	COG4964	330.4	ScoreOver50	NA	1	NA	NA	Vario putatively conserved	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax	Variovorax paradoxus CL14	Yes	-1	NA
